REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Families_affected,Individuals_affected2,Families_displaced,Individuals_displaced,Houses_damaged,Houses_destroyed
#adm1 +name +en,#adm2 +code,#adm2 +name +en,#adm3 +code,#adm3 +name +en,#cause +date,#cause +type,#affected +killed +num,#affected +injured +num,#affected +families +num,#affected +individuals +num,#affected+displaced+families,#affected+dispalced+num,#damaged+houses+num,#destroyed+houses+num
South Eastern,25,Paktika,2505,Zarghunshahr,02/01/18,Flood / flash flood,0,0,160,1120,0,0,160,0
South Eastern,25,Paktika,2512,Janikhel,03/01/18,Flood / flash flood,0,0,140,980,0,0,140,0
North Eastern,15,Badakhshan,1506,Raghestan,28/01/18,Avalanche,1,2,0,3,,,0,0
North Eastern,15,Badakhshan,1505,Kohestan,28/01/18,Landslide / mudflow,4,4,0,8,,,0,0
Western,21,Ghor,2101,Chaghcharan,30/01/18,Drought,0,0,35,245,35,245,0,0
Eastern,13,Kunar,1311,Barkunar,31/01/18,Earthquake,0,0,6,42,,,6,0
Eastern,13,Kunar,1306,Shigal Wa Sheltan,31/01/18,Earthquake,0,0,4,28,,,4,0
Eastern,13,Kunar,1310,Dangam,31/01/18,Earthquake,0,0,5,35,,,5,0
Eastern,13,Kunar,1309,Khaskunar,31/01/18,Earthquake,0,0,2,7,,,2,0
South Eastern,12,Paktya,1201,Gardez,12/02/18,Flood / flash flood,0,0,60,420,0,0,60,0
South Eastern,12,Paktya,1208,Alikhel (Jaji),12/02/18,Flood / flash flood,0,0,40,280,0,0,40,0
Eastern,13,Kunar,1314,Nurgal,12/02/18,Flood / flash flood,0,0,3,31,,,3,0
South Eastern,12,Paktya,1206,Zadran,13/02/18,Flood / flash flood,0,0,30,210,0,0,30,0
South Eastern,12,Paktya,1202,Sayedkaram,13/02/18,Flood / flash flood,0,0,25,175,0,0,25,0
Capital,3,Parwan,303,Shinwari,14/02/18,Heavy snowfall,0,0,10,70,0,0,8,2
North Eastern,16,Takhar,1612,Khwajabahawuddin,15/02/18,Flood / flash flood,0,0,26,182,,,26,0
Northern,18,Balkh,1802,Nahr-e-Shahi,19/02/18,Flood / flash flood,0,0,19,133,0,0,19,0
Western,21,Ghor,2101,Chaghcharan,25/02/18,Drought,0,0,23,161,23,161,0,0
Western,30,Hirat,3007,Karukh,26/02/18,Flood / flash flood,0,0,26,168,0,0,0,26
Western,30,Hirat,3006,Pashtunzarghun,26/02/18,Flood / flash flood,0,0,0,0,0,0,0,0
Western,29,Badghis,2904,Qadis,26/02/18,Flood / flash flood,6,0,0,6,6,0,0,0
Southern,33,Kandahar,3301,Kandahar,26/02/18,Flood / flash flood,0,0,101,807,,,0,0
Western,31,Farah,3101,Farah,01/03/18,Flood / flash flood,0,0,122,1050,0,0,0,31
Western,31,Farah,3101,Farah,01/03/18,Flood / flash flood,0,0,8,56,0,0,8,56
Western,21,Ghor,2101,Chaghcharan,01/03/18,Drought,0,0,35,245,35,245,0,0
Eastern,13,Kunar,1314,Nurgal,03/03/18,Flood / flash flood,0,0,2,14,,,0,2
Western,21,Ghor,2108,Lal Wa Sarjangal,05/03/18,Flood / flash flood,0,0,2,14,0,0,0,2
Western,29,Badghis,2901,Qala-e-Naw,09/03/18,Landslide / mudflow,0,0,1,6,0,0,1,0
Western,29,Badghis,2901,Qala-e-Naw,09/03/18,Remove,2,0,1,6,0,0,0,0
Eastern,13,Kunar,1306,Shigal Wa Sheltan,10/03/18,Flood / flash flood,0,3,3,21,,,2,1
Western,21,Ghor,2101,Chaghcharan,10/03/18,Drought,0,0,28,196,28,196,0,0
Western,29,Badghis,2901,Qala-e-Naw,15/03/18,Drought,0,0,12,70,12,70,0,0
South Eastern,12,Paktya,1201,Gardez,19/03/18,Flood / flash flood,0,0,11,77,0,0,11,0
Central Highland,22,Daykundi,2201,Nili,25/03/18,Drought,0,0,263,1841,,,0,0
Central Highland,22,Daykundi,2206,Shahrestan,25/03/18,Drought,0,0,423,2961,,,0,0
Central Highland,22,Daykundi,2207,Sang-e-Takht,25/03/18,Drought,0,0,322,2254,,,0,0
Central Highland,10,Bamyan,1001,Bamyan,25/03/18,Flood / flash flood,0,0,1,7,1,7,0,1
Central Highland,10,Bamyan,1001,Bamyan,25/03/18,Flood / flash flood,0,0,1,7,1,7,0,1
Central Highland,22,Daykundi,2204,kiti,25/03/18,Drought,0,0,215,1505,,,0,0
Central Highland,22,Daykundi,2209,Miramor,25/03/18,Drought,0,0,402,2814,,,0,0
Central Highland,22,Daykundi,2202,Ashtarlay,25/03/18,Drought,0,0,305,2135,,,0,0
Western,21,Ghor,2101,Chaghcharan,25/03/18,Drought,0,0,34,238,34,238,0,0
Central Highland,22,Daykundi,2208,Kajran,25/03/18,Drought,0,0,225,1575,,,0,0
Central Highland,22,Daykundi,2203,Khadir,25/03/18,Drought,0,0,301,2107,,,0,0
Western,21,Ghor,2101,Chaghcharan,28/03/18,Drought,0,0,19,133,19,133,0,0
Western,21,Ghor,2101,Chaghcharan,05/04/18,Drought,0,0,29,174,29,174,0,0
Western,30,Hirat,3002,Injil,06/04/18,Drought,0,0,36,252,36,252,0,0
Western,30,Hirat,3002,Injil,06/04/18,Drought,0,0,24,168,24,168,0,0
Eastern,13,Kunar,1303,Narang,08/04/18,Flood / flash flood,0,0,3,21,,,0,3
North Eastern,15,Badakhshan,1502,Yaftal-e-Sufla,08/04/18,Flood / flash flood,0,0,5,35,5,35,0,5
Eastern,13,Kunar,1314,Nurgal,08/04/18,Flood / flash flood,0,0,1,6,,,1,0
Eastern,13,Kunar,1302,Watapur,08/04/18,Flood / flash flood,0,0,2,14,,,1,1
Eastern,13,Kunar,1301,Asadabad,08/04/18,Flood / flash flood,0,0,2,16,,,0,2
Eastern,13,Kunar,1305,Marawara,08/04/18,Flood / flash flood,0,0,2,14,,,2,0
Eastern,7,Laghman,703,Qarghayi,09/04/18,Flood / flash flood,0,0,5,44,0,,2,3
Western,21,Ghor,2105,Shahrak,09/04/18,Flood / flash flood,0,0,0,0,,,0,0
Western,21,Ghor,2106,Taywarah,09/04/18,Flood / flash flood,0,0,0,0,,,0,0
Western,21,Ghor,2106,Taywarah,09/04/18,Remove,1,0,1,7,0,0,0,0
Capital,2,Kapisa,202,Nejrab,09/04/18,Flood / flash flood,0,0,26,182,0,0,26,0
Capital,2,Kapisa,203,Kohband,09/04/18,Flood / flash flood,0,0,13,91,0,0,13,0
Eastern,7,Laghman,701,Mehtarlam,09/04/18,Flood / flash flood,0,0,5,46,0,,2,3
Capital,2,Kapisa,201,Mahmud-e-Raqi,09/04/18,Flood / flash flood,0,0,26,182,0,0,25,1
Western,21,Ghor,2105,Shahrak,09/04/18,Flood / flash flood,0,0,0,0,,,0,0
Capital,2,Kapisa,205,Tagab,09/04/18,Flood / flash flood,0,0,14,98,0,0,13,1
Capital,3,Parwan,304,Bagram,15/04/18,Flood / flash flood,0,0,4,28,0,0,3,1
Capital,3,Parwan,301,Charikar,15/04/18,Flood / flash flood,0,0,6,42,0,0,4,2
Capital,3,Parwan,307,Ghorband,15/04/18,Flood / flash flood,0,0,1,7,0,0,0,1
Capital,3,Parwan,308,Koh-e-Safi,15/04/18,Flood / flash flood,0,0,9,63,0,0,9,0
Western,30,Hirat,3011,Farsi,15/04/18,Remove,0,4,0,2,0,0,0,0
Western,29,Badghis,2902,Muqur,15/04/18,Flood / flash flood,0,0,0,0,0,0,0,0
Western,30,Hirat,3002,Injil,16/04/18,Drought,0,0,40,280,40,280,0,0
Western,30,Hirat,3002,Injil,16/04/18,Drought,0,0,5,35,5,35,0,0
Western,30,Hirat,3002,Injil,16/04/18,Drought,0,0,246,1722,246,1722,0,0
Western,30,Hirat,3002,Injil,16/04/18,Drought,0,0,69,483,69,483,0,0
Western,30,Hirat,3008,Gulran,16/04/18,Flood / flash flood,0,0,0,0,0,0,0,0
Western,29,Badghis,2906,Balamurghab,17/04/18,Flood / flash flood,0,0,0,0,0,0,0,0
Western,29,Badghis,2906,Balamurghab,17/04/18,Flood / flash flood,0,0,0,0,,,0,0
Western,30,Hirat,3016,Chisht-e-Sharif,17/04/18,Flood / flash flood,0,0,0,0,0,0,0,0
