crisis_index,crisis_name,crisis_iso3,figure_name,figure_date,figure_value,figure_source,figure_url
0,Afghanistan,AFG,"People in Need",2018-12-04,6300000,OCHA,https://m.reliefweb.int/report/2900688
0,Afghanistan,AFG,"People Targeted for Assistance",2018-12-04,4500000,OCHA,https://m.reliefweb.int/report/2900688
0,Afghanistan,AFG,"Children in Need",2018-07-18,2400000,UNICEF,https://m.reliefweb.int/report/2802889
0,Afghanistan,AFG,"People in Food Crisis/Emergency (IPC phase 3+)",2018-09-30,9838408,IPC,https://m.reliefweb.int/report/2851838
0,Afghanistan,AFG,"Undocumented Afghan Returnees from Iran (per year)",2018-12-08,735277,IOM,https://m.reliefweb.int/report/2909658
0,Afghanistan,AFG,"Undocumented Afghan Returnees from Pakistan (per year)",2018-12-08,31023,IOM,https://m.reliefweb.int/report/2909658
0,Afghanistan,AFG,"Registered Afghan Returnees from Pakistan (per year)",2018-12-01,14017,UNHCR,https://m.reliefweb.int/report/2906248
0,Afghanistan,AFG,"Conflict-Induced Displacements (per year)",2018-07-22,173000,OCHA,https://m.reliefweb.int/report/2750099
0,Afghanistan,AFG,"Returnees from Pakistan (per year)",2018-07-22,31500,OCHA,https://m.reliefweb.int/report/2750099
0,Afghanistan,AFG,"Registered Afghan Refugees in Pakistan",2018-11-03,1396904,UNHCR,https://m.reliefweb.int/report/2864323
0,Afghanistan,AFG,"Afghan Refugees in Turkey",2018-11-30,170000,UNHCR,https://m.reliefweb.int/report/2909543
0,Afghanistan,AFG,"Civilians Killed and Injured (per year)",2018-09-30,8050,UNAMA,https://m.reliefweb.int/report/2824484
0,Afghanistan,AFG,"Civilians Killed (per year)",2018-09-30,2798,UNAMA,https://m.reliefweb.int/report/2824484
0,Afghanistan,AFG,"Civilians Injured (per year)",2018-09-30,5252,UNAMA,https://m.reliefweb.int/report/2824484
0,Afghanistan,AFG,"KKA Incidents against Aid Workers (Killed, Kidnapped and Arrested per year)",2018-10-31,30,"Insecurity Insight",https://m.reliefweb.int/report/2879178
0,Afghanistan,AFG,"Aid Workers Killed (per year)",2018-10-31,12,"Insecurity Insight",https://m.reliefweb.int/report/2879178
0,Afghanistan,AFG,"Aid Workers Kidnapped (per year)",2018-10-31,16,"Insecurity Insight",https://m.reliefweb.int/report/2879178
0,Afghanistan,AFG,"Aid Workers Arrested (per year)",2018-10-31,2,"Insecurity Insight",https://m.reliefweb.int/report/2879178
0,Afghanistan,AFG,"New IDPs by Conflict (per year)",2017-12-31,474000,IDMC,https://m.reliefweb.int/report/2603634
0,Afghanistan,AFG,"New IDPs by Natural Disasters (per year)",2017-12-31,27000,IDMC,https://m.reliefweb.int/report/2603634
1,Bangladesh,BGD,"Rohingya Refugees in Need",2018-16-03,1300000,ISCG,https://m.reliefweb.int/report/2515639
1,Bangladesh,BGD,"People Targeted for Assistance in Cox's Bazar",2018-16-03,1300000,ISCG,https://m.reliefweb.int/report/2515639
1,Bangladesh,BGD,"Rohingya Children in Need",2018-05-19,703000,UNICEF,https://m.reliefweb.int/report/2802884
1,Bangladesh,BGD,"Newly Arrived Children from Myanmar in Need of Humanitarian Assistance",2018-11-27,392580,UNICEF,https://m.reliefweb.int/report/2902918
1,Bangladesh,BGD,"Total Rohingya Refugees in Cox's Bazar",2018-11-28,906835,ISCG,https://m.reliefweb.int/report/2898923
1,Bangladesh,BGD,"Refugees in Kutupalong RC in Cox's Bazar",2018-11-28,18169,ISCG,https://m.reliefweb.int/report/2898923
1,Bangladesh,BGD,"Refugees in Kutupalong Expansion Site in Cox's Bazar",2018-11-28,607259,ISCG,https://m.reliefweb.int/report/2898923
1,Bangladesh,BGD,"Refugees in Camp 24 (Leda) in Cox's Bazar",2018-11-28,33636,ISCG,https://m.reliefweb.int/report/2898923
1,Bangladesh,BGD,"Refugees in Camp 26 (Nayapara) in Cox's Bazar",2018-11-28,41224,ISCG,https://m.reliefweb.int/report/2898923
1,Bangladesh,BGD,"Refugees in Camp 27 (Jadimura) in Cox's Bazar",2018-11-28,14344,ISCG,https://m.reliefweb.int/report/2898923
1,Bangladesh,BGD,"Refugees in Camp 25 (Ali Khali) in Cox's Bazar",2018-11-28,9549,ISCG,https://m.reliefweb.int/report/2898923
1,Bangladesh,BGD,"Refugees in Camp 14 (Hakimpara) in Cox's Bazar",2018-11-28,31880,ISCG,https://m.reliefweb.int/report/2898923
1,Bangladesh,BGD,"Refugees in Camp 15 (Jamtoli) in Cox's Bazar",2018-11-28,49438,ISCG,https://m.reliefweb.int/report/2898923
1,Bangladesh,BGD,"Refugees in Camp 22 (Unchiprang) in Cox's Bazar",2018-11-28,22222,ISCG,https://m.reliefweb.int/report/2898923
1,Bangladesh,BGD,"Refugees in Camp 16 (Bagghona/Potibonia) in Cox's Bazar",2018-11-28,21685,ISCG,https://m.reliefweb.int/report/2898923
1,Bangladesh,BGD,"Refugees in Camp 21 (Chakmarkul) in Cox's Bazar",2018-11-28,12299,ISCG,https://m.reliefweb.int/report/2898923
1,Bangladesh,BGD,"Refugees in Camp 23 (Shamlapur) in Cox's Bazar",2018-11-28,10977,ISCG,https://m.reliefweb.int/report/2898923
1,Bangladesh,BGD,"Refugees in Host Communities in Ukhia in Cox's Bazar",2018-11-28,2513,ISCG,https://m.reliefweb.int/report/2898923
1,Bangladesh,BGD,"Refugees in Host Communities in Teknaf in Cox's Bazar",2018-11-28,4650,ISCG,https://m.reliefweb.int/report/2898923
1,Bangladesh,BGD,"Refugees in Host Communities in Cox's Bazar Sadar and Ramu",2018-10-10,6750,ISCG,https://m.reliefweb.int/report/2858018
1,Bangladesh,BGD,"Refugee Households Assisted with WFP Food Aid in Cox's Bazar",2018-10-31,146500,WFP,https://m.reliefweb.int/report/2883718
2,Burundi,BDI,"People in Need",2018-12-04,1800000,OCHA,https://m.reliefweb.int/report/2900688
2,Burundi,BDI,"People Targeted for Assistance",2018-12-04,710000,OCHA,https://m.reliefweb.int/report/2900688
2,Burundi,BDI,"Children in Need",2017-12-29,2000000,UNICEF,https://m.reliefweb.int/report/2438714
2,Burundi,BDI,"Burundian Refugees & Asylum-Seekers",2018-11-30,384376,UNHCR,http://data2.unhcr.org/en/situations/burundi
2,Burundi,BDI,"Burundian Refugees in Tanzania (Post-Apr 2015)",2018-10-31,222823,UNHCR,http://data2.unhcr.org/en/situations/burundi/location/2030
2,Burundi,BDI,"Burundian Refugee Arrivals in Tanzania (per year)",2018-07-31,1770,UNHCR,https://m.reliefweb.int/report/2751964
2,Burundi,BDI,"Voluntary Assisted Returns from Tanzania (since 7 Sep 2017)",2018-09-30,52260,UNHCR,https://m.reliefweb.int/report/2854468
2,Burundi,BDI,"Voluntary Assisted Returns from Tanzania since 7 Sep 2017 (per year)",2018-09-30,38390,UNHCR,https://m.reliefweb.int/report/2854468
2,Burundi,BDI,"Burundian Refugees in DRC",2018-11-30,42309,UNHCR,https://m.reliefweb.int/report/2913833
2,Burundi,BDI,"Burundian Refugee Arrivals in DRC (per year)",2018-06-30,4540,UNHCR,https://m.reliefweb.int/report/2715904
2,Burundi,BDI,"Burundian Refugees in Rwanda (Post-Influx)",2018-11-30,68861,UNHCR,https://m.reliefweb.int/report/2914143
2,Burundi,BDI,"Burundian Refugees & Asylum-Seekers in Uganda",2018-10-24,31518,UNHCR,https://m.reliefweb.int/report/2852683
2,Burundi,BDI,"Burundian Refugees & Asylum seekers in Kenya",2018-07-31,13165,UNHCR,https://m.reliefweb.int/report/2577639
2,Burundi,BDI,IDPs,2018-09-30,151520,IOM,https://m.reliefweb.int/report/2836123
2,Burundi,BDI,"DRC Refugees in Burundi",2018-10-31,74625,UNHCR,https://m.reliefweb.int/report/2878188
2,Burundi,BDI,"People in Food Crisis/Emergency (IPC Phase 3+)",2018-03-31,1457529,IPC,https://m.reliefweb.int/report/2606209
2,Burundi,BDI,"People Assisted through WFP Food Assistance (per month)",2018-09-30,604870,WFP,https://m.reliefweb.int/report/2860138
2,Burundi,BDI,"New IDPs by Conflict (per year)",2017-12-31,14000,IDMC,https://m.reliefweb.int/report/2603634
2,Burundi,BDI,"New IDPs by Natural Disasters (per year)",2017-12-31,11000,IDMC,https://m.reliefweb.int/report/2603634
2,Burundi,BDI,"People in Need of Shelter, NFI & CCCM Assistance",2018-01-31,439900,OCHA,https://m.reliefweb.int/report/2471084
2,Burundi,BDI,"People in Need of WASH Assistance",2018-01-31,979100,OCHA,https://m.reliefweb.int/report/2471084
2,Burundi,BDI,"People in Need of Education Assistance",2018-01-31,458400,OCHA,https://m.reliefweb.int/report/2471084
2,Burundi,BDI,"People in Need of Nutrition Assistance",2018-01-31,1400000,OCHA,https://m.reliefweb.int/report/2471084
2,Burundi,BDI,"People in Need of Protection Assistance",2018-01-31,1100000,OCHA,https://m.reliefweb.int/report/2471084
2,Burundi,BDI,"People in Need of Health Assistance",2018-01-31,3000000,OCHA,https://m.reliefweb.int/report/2471084
2,Burundi,BDI,"People in Need of Food Security Assistance",2018-01-31,2600000,OCHA,https://m.reliefweb.int/report/2471084
3,Cameroon,CMR,"People in Need",2018-12-04,4300000,OCHA,https://m.reliefweb.int/report/2900688
3,Cameroon,CMR,"People Targeted for Assistance",2018-12-04,2300000,OCHA,https://m.reliefweb.int/report/2900688
